OCC_YEAR,OCC_MONTH,OCC_DOW,DIVISION,LOCATION_TYPE,PREMISES_TYPE,BIKE_TYPE,BIKE_COST,STATUS,NEIGHBOURHOOD_158
2014,January,Wednesday,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,RG,,RECOVERED,Palmerston-Little Italy (80)
2013,December,Thursday,D14,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,RC,1300.0,STOLEN,Harbourfront-CityPlace (165)
2014,January,Wednesday,D14,"Apartment (Rooming House, Condo)",Apartment,MT,,STOLEN,South Parkdale (85)
2013,September,Monday,D14,"Apartment (Rooming House, Condo)",Apartment,MT,750.0,STOLEN,Kensington-Chinatown (78)
2013,December,Wednesday,D51,"Apartment (Rooming House, Condo)",Apartment,MT,1500.0,STOLEN,Downtown Yonge East (168)
2013,December,Wednesday,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,TO,400.0,STOLEN,Cabbagetown-South St.James Town (71)
2013,December,Monday,D53,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OT,500.0,STOLEN,Bedford Park-Nortown (39)
2014,January,Wednesday,D52,"Apartment (Rooming House, Condo)",Apartment,OT,1019.0,STOLEN,Harbourfront-CityPlace (165)
2013,December,Tuesday,D51,"Apartment (Rooming House, Condo)",Apartment,RC,1200.0,STOLEN,Downtown Yonge East (168)
2013,July,Monday,D32,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,RG,600.0,STOLEN,Lawrence Park North (105)
2013,December,Tuesday,D51,"Apartment (Rooming House, Condo)",Apartment,RC,1500.0,STOLEN,Downtown Yonge East (168)
2014,January,Saturday,D51,"Apartment (Rooming House, Condo)",Apartment,RG,200.0,STOLEN,Church-Wellesley (167)
2014,January,Friday,D13,"Private Property Structure (Pool, Shed, Detached Garage)",Other,MT,560.0,STOLEN,Humewood-Cedarvale (106)
2013,December,Monday,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,EL,1000.0,STOLEN,Downtown Yonge East (168)
2014,January,Saturday,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,MT,900.0,STOLEN,Leaside-Bennington (56)
2013,December,Saturday,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,MT,1500.0,STOLEN,East Willowdale (152)
2014,January,Sunday,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,SC,0.0,UNKNOWN,Englemount-Lawrence (32)
2013,November,Friday,D55,"Apartment (Rooming House, Condo)",Apartment,OT,1300.0,STOLEN,South Riverdale (70)
2014,January,Sunday,D51,Bar / Restaurant,Commercial,EL,1800.0,STOLEN,Church-Wellesley (167)
2013,December,Friday,D14,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,EL,3300.0,STOLEN,Wellington Place (164)
2014,January,Tuesday,D55,"Private Property Structure (Pool, Shed, Detached Garage)",Other,MT,150.0,STOLEN,South Riverdale (70)
2014,January,Wednesday,D51,"Apartment (Rooming House, Condo)",Apartment,RG,479.0,STOLEN,Moss Park (73)
2014,January,Friday,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,SC,800.0,STOLEN,Kensington-Chinatown (78)
2014,January,Friday,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OT,400.0,STOLEN,St Lawrence-East Bayfront-The Islands 
2014,January,Saturday,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,OT,200.0,STOLEN,Annex (95)
2014,January,Saturday,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,OT,200.0,STOLEN,Annex (95)
2013,June,Thursday,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,RG,700.0,STOLEN,Wellington Place (164)
2014,January,Saturday,D54,"Apartment (Rooming House, Condo)",Apartment,MT,900.0,STOLEN,Broadview North (57)
2014,January,Monday,D11,"Private Property Structure (Pool, Shed, Detached Garage)",Other,RC,1100.0,STOLEN,Little Portugal (84)
2014,January,Wednesday,D32,"Apartment (Rooming House, Condo)",Apartment,RC,2399.0,STOLEN,Avondale (153)
2014,January,Tuesday,D22,Schools During Supervised Activity,Educational,RG,600.0,STOLEN,New Toronto (18)
2014,January,Tuesday,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,RG,2000.0,STOLEN,Yonge-Bay Corridor (170)
2014,January,Wednesday,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,EL,750.0,STOLEN,Moss Park (73)
2014,January,Sunday,D14,"Apartment (Rooming House, Condo)",Apartment,MT,300.0,STOLEN,Harbourfront-CityPlace (165)
2014,January,Saturday,D11,"Single Home, House (Attach Garage, Cottage, Mobile)",House,RG,120.0,STOLEN,Little Portugal (84)
2014,January,Saturday,D41,"Single Home, House (Attach Garage, Cottage, Mobile)",House,MT,150.0,STOLEN,Wexford/Maryvale (119)
2014,January,Thursday,D11,"Private Property Structure (Pool, Shed, Detached Garage)",Other,MT,350.0,STOLEN,Junction-Wallace Emerson (171)
