OBJECTID,EVENT_UNIQUE_ID,PRIMARY_OFFENCE,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DOW,OCC_DAY,OCC_DOY,OCC_HOUR,REPORT_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DOW,REPORT_DAY,REPORT_DOY,REPORT_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,BIKE_MAKE,BIKE_MODEL,BIKE_TYPE,BIKE_SPEED,BIKE_COLOUR,BIKE_COST,STATUS,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
1,GO-20141263784,PROPERTY - FOUND,1/1/2014 5:00:00 AM,2014,January,Wednesday,1,1,18,1/1/2014 5:00:00 AM,2014,January,Wednesday,1,1,18,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,TREK,SOHO S,RG,1,BLK,,RECOVERED,080,Palmerston-Little Italy (80),080,Palmerston-Little Italy (80),-79.4146535298481,43.6605248046894,-8840398.79248384,5413057.03169546
2,GO-20141263544,B&E,12/26/2013 5:00:00 AM,2013,December,Thursday,26,360,19,1/1/2014 5:00:00 AM,2014,January,Wednesday,1,1,17,D14,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,FELT,F59,RC,21,SILRED,1300,STOLEN,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),-79.3956427347843,43.6400206791244,-8838282.52046487,5409902.50627091
3,GO-20141261431,THEFT UNDER,1/1/2014 5:00:00 AM,2014,January,Wednesday,1,1,7,1/1/2014 5:00:00 AM,2014,January,Wednesday,1,1,7,D14,"Apartment (Rooming House, Condo)",Apartment,SUPERCYCLE,,MT,10,,,STOLEN,085,South Parkdale (85),085,South Parkdale (85),-79.4436451187837,43.6376571871944,-8843626.12140861,5409538.95619472
4,GO-20141267465,THEFT UNDER,9/30/2013 5:00:00 AM,2013,September,Monday,30,273,0,1/2/2014 5:00:00 AM,2014,January,Thursday,2,2,12,D14,"Apartment (Rooming House, Condo)",Apartment,NORCO,CHARGER 9.2,MT,21,BLK,750,STOLEN,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.4046775317727,43.6489637896268,-8839288.26946632,5411278.25649386
5,GO-20149000074,THEFT UNDER,12/25/2013 5:00:00 AM,2013,December,Wednesday,25,359,16,1/2/2014 5:00:00 AM,2014,January,Thursday,2,2,16,D51,"Apartment (Rooming House, Condo)",Apartment,CA,RZ 120 1,MT,21,WHI,1500,STOLEN,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3726901505519,43.6523765914803,-8835727.4505016,5411803.31367544
6,GO-20149000071,THEFT UNDER,12/25/2013 5:00:00 AM,2013,December,Wednesday,25,359,10,1/2/2014 5:00:00 AM,2014,January,Thursday,2,2,14,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,BI,,TO,25,RED,400,STOLEN,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),-79.3737671550415,43.6672884064532,-8835847.34203846,5414097.83665394
7,GO-20141266048,THEFT UNDER,12/30/2013 5:00:00 AM,2013,December,Monday,30,364,17,1/2/2014 5:00:00 AM,2014,January,Thursday,2,2,8,D53,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,KHS,VITAMIN A,OT,24,WHI,500,STOLEN,039,Bedford Park-Nortown (39),039,Bedford Park-Nortown (39),-79.4295656918104,43.7184247625752,-8842058.80676431,5421970.66420138
8,GO-20149000090,THEFT UNDER,1/1/2014 5:00:00 AM,2014,January,Wednesday,1,1,12,1/2/2014 5:00:00 AM,2014,January,Thursday,2,2,20,D52,"Apartment (Rooming House, Condo)",Apartment,GI,TCX2 (2010),OT,9,BLU,1019,STOLEN,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),-79.3937600356872,43.6427721818759,-8838072.93937087,5410325.75784361
9,GO-20149000113,THEFT UNDER,12/31/2013 5:00:00 AM,2013,December,Tuesday,31,365,0,1/3/2014 5:00:00 AM,2014,January,Friday,3,3,16,D51,"Apartment (Rooming House, Condo)",Apartment,OT,,RC,18,BLK,1200,STOLEN,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3751895486948,43.6518039909077,-8836005.68221425,5411715.21746033
10,GO-20141272882,THEFT UNDER,7/1/2013 5:00:00 AM,2013,July,Monday,1,182,0,1/3/2014 5:00:00 AM,2014,January,Friday,3,3,16,D32,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,OPUS,URBANO SUSPENS,RG,10,PLE,600,STOLEN,105,Lawrence Park North (105),105,Lawrence Park North (105),-79.4037854433742,43.7311447760027,-8839188.9625731,5423930.04935292
